,5c93bbc8cda9c500170b22c5
Pond9Fish7_PondTime,67.272
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,244
Pond9Fish7_TimeLeft,941.435
Pond9_Type,RD
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.063
Pond9Fish8_PondTime,75.096
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,256
Pond9Fish8_TimeLeft,933.611
Pond9_Type,RD
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.305
Pond9Fish9_PondTime,83.472
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,268
Pond9Fish9_TimeLeft,925.235
Pond9_Type,RD
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.272
Pond9Fish10_PondTime,92.497
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,280
Pond9Fish10_TimeLeft,916.21
Pond9_Type,RD
Pond9Fish11_FishType,gray
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.271
Pond9Fish11_PondTime,102.369
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,282
Pond9Fish11_TimeLeft,906.338
Pond9_Type,RD
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.372
Pond9Fish12_PondTime,113.307
Pond9Fish12_PondOutcome,134
Pond9Fish12_TotalOutcome,294
Pond9Fish12_TimeLeft,895.4
Pond9_Type,RD
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.154
Pond9Fish13_PondTime,125.678
Pond9Fish13_PondOutcome,146
Pond9Fish13_TotalOutcome,306
Pond9Fish13_TimeLeft,883.029
Pond9_Type,RD
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,-1
Pond9Fish14_PondTime,140.111
Pond9Fish14_PondOutcome,146
Pond9Fish14_TotalOutcome,306
Pond9Fish14_TimeLeft,868.596
Pond9_Type,RD
Pond9Fish15_FishType,gray
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.176
Pond9Fish15_PondTime,157.497
Pond9Fish15_PondOutcome,148
Pond9Fish15_TotalOutcome,308
Pond9Fish15_TimeLeft,851.21
Pond9_Type,RD
Pond9Fish16_FishType,purple
Pond9Fish16_FishLatency,15
Pond9Fish16_CatchTime,1.24
Pond9Fish16_PondTime,179.856
Pond9Fish16_PondOutcome,160
Pond9Fish16_TotalOutcome,320
Pond9Fish16_TimeLeft,828.851
Pond9_Type,RD
Pond9Fish17_FishType,gray
Pond9Fish17_FishLatency,20
Pond9Fish17_CatchTime,1.331
Pond9Fish17_PondTime,212.22
Pond9Fish17_PondOutcome,162
Pond9Fish17_TotalOutcome,322
Pond9Fish17_TimeLeft,796.487
Pond9_GiveUpTime,1.495
Pond9_PondTime,213.648
Pond9_PondOutcome,162
Pond9_TotalOutcome,322
Pond9_TimeLeft,795.059
Pond10IntroTime,15.631252797320485
Pond10_Type,RD
Pond10Fish1_FishType,gray
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.342
Pond10Fish1_PondTime,25.13
Pond10Fish1_PondOutcome,2
Pond10Fish1_TotalOutcome,324
Pond10Fish1_TimeLeft,769.929
Pond10_Type,RD
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.062
Pond10Fish2_PondTime,32.49
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,336
Pond10Fish2_TimeLeft,762.569
Pond10_Type,RD
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.757
Pond10Fish3_PondTime,40.364
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,348
Pond10Fish3_TimeLeft,754.695
Pond10_Type,RD
Pond10Fish4_FishType,gray
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.786
Pond10Fish4_PondTime,48.837
Pond10Fish4_PondOutcome,28
Pond10Fish4_TotalOutcome,350
Pond10Fish4_TimeLeft,746.222
Pond10_Type,RD
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.08
Pond10Fish5_PondTime,57.864
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,362
Pond10Fish5_TimeLeft,737.195
Pond10_Type,RD
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.007
Pond10Fish6_PondTime,67.737
Pond10Fish6_PondOutcome,52
Pond10Fish6_TotalOutcome,374
Pond10Fish6_TimeLeft,727.322
Pond10_Type,RD
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.117
Pond10Fish7_PondTime,78.675
Pond10Fish7_PondOutcome,64
Pond10Fish7_TotalOutcome,386
Pond10Fish7_TimeLeft,716.384
Pond10_Type,RD
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.21
Pond10Fish8_PondTime,91.029
Pond10Fish8_PondOutcome,76
Pond10Fish8_TotalOutcome,398
Pond10Fish8_TimeLeft,704.03
Pond10_Type,RD
Pond10Fish9_FishType,gray
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,1.257
Pond10Fish9_PondTime,105.399
Pond10Fish9_PondOutcome,78
Pond10Fish9_TotalOutcome,400
Pond10Fish9_TimeLeft,689.66
Pond10_Type,RD
Pond10Fish10_FishType,gray
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,1.046
Pond10Fish10_PondTime,122.761
Pond10Fish10_PondOutcome,80
Pond10Fish10_TotalOutcome,402
Pond10Fish10_TimeLeft,672.298
Pond10_Type,RD
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,15
Pond10Fish11_CatchTime,1.267
Pond10Fish11_PondTime,145.125
Pond10Fish11_PondOutcome,92
Pond10Fish11_TotalOutcome,414
Pond10Fish11_TimeLeft,649.934
Pond10_Type,RD
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,20
Pond10Fish12_CatchTime,1.205
Pond10Fish12_PondTime,177.492
Pond10Fish12_PondOutcome,104
Pond10Fish12_TotalOutcome,426
Pond10Fish12_TimeLeft,617.567
Pond10_GiveUpTime,47.216
Pond10_PondTime,224.521
Pond10_PondOutcome,104
Pond10_TotalOutcome,426
Pond10_TimeLeft,570.538
Pond3IntroTime,10.167244612239301
Pond3_Type,RD
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.459
Pond3Fish1_PondTime,19.668
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,438
Pond3Fish1_TimeLeft,550.87
Pond3_Type,RD
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.147
Pond3Fish2_PondTime,27.043
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,450
Pond3Fish2_TimeLeft,543.495
Pond3_Type,RD
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.066
Pond3Fish3_PondTime,34.853
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,462
Pond3Fish3_TimeLeft,535.685
Pond3_Type,RD
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,-1
Pond3Fish4_PondTime,43.29
Pond3Fish4_PondOutcome,36
Pond3Fish4_TotalOutcome,462
Pond3Fish4_TimeLeft,527.248
Pond3_Type,RD
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.192
Pond3Fish5_PondTime,52.336
Pond3Fish5_PondOutcome,48
Pond3Fish5_TotalOutcome,474
Pond3Fish5_TimeLeft,518.202
Pond3_Type,RD
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.119
Pond3Fish6_PondTime,62.192
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,486
Pond3Fish6_TimeLeft,508.346
Pond3_Type,RD
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.039
Pond3Fish7_PondTime,73.129
Pond3Fish7_PondOutcome,72
Pond3Fish7_TotalOutcome,498
Pond3Fish7_TimeLeft,497.409
