,5c4f3e17cc71f40001258c0e
PlayerDetails,5c4f3e17cc71f40001258c0e
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 11:15:05 GMT+0100 (Midden-Europese standaardtijd)
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.867
Pond12Fish1_PondTime,6.169
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1193.82
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.901
Pond12Fish2_PondTime,13.223
Pond12Fish2_PondOutcome,20
