,57fb71185babd2000141049a
PlayerDetails,57fb71185babd2000141049a
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,16
Pond4_Type,RD
Pond4_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,13
Pond11_Type,RD
Pond11_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,14
Pond12_Type,RD
Pond12_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:25:38 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.766
Pond10Fish1_PondTime,9.712
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1192.674
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.696
Pond10Fish2_PondTime,18.078
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1184.308
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.903
Pond10Fish3_PondTime,27.094
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,36
Pond10Fish3_TimeLeft,1175.292
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.918
Pond10Fish4_PondTime,36.944
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,48
Pond10Fish4_TimeLeft,1165.442
